FEN,Evaluation,eval,
3rr1k1/pbq2p1p/1p4p1/8/5P2/P1PnB2R/2QN2PP/5RK1 b - - 1 26,-521,-2.084,
3r2k1/pbq2p1p/1p4p1/8/5P2/P1Pnr2R/2QN2PP/5RK1 w - - 0 27,-499,-1.996,
3r2k1/pbq2p1p/1p4p1/8/5P2/P1PnR3/2QN2PP/5RK1 b - - 0 27,-532,-2.128,
3r2k1/pb3p1p/1p4p1/2q5/5P2/P1PnR3/2QN2PP/5RK1 w - - 1 28,-540,-2.16,
3r2k1/pb3p1p/1p4p1/2q5/2N2P2/P1PnR3/2Q3PP/5RK1 b - - 2 28,-606,-2.424,
3r2k1/pb3p1p/6p1/1pq5/2N2P2/P1PnR3/2Q3PP/5RK1 w - - 0 29,-518,-2.072,
3r2k1/pb3p1p/6p1/1pq5/2N2P2/P1PnR3/2Q3PP/5R1K b - - 1 29,-566,-2.264,
3r2k1/pb3p1p/6p1/2q5/2p2P2/P1PnR3/2Q3PP/5R1K w - - 0 30,-549,-2.196,
3r2k1/pb3p1p/6p1/2q5/2p2P2/P1PnR3/4Q1PP/5R1K b - - 1 30,-607,-2.428,
3r2k1/p4p1p/2b3p1/2q5/2p2P2/P1PnR3/4Q1PP/5R1K w - - 2 31,-637,-2.548,
3r2k1/p4p1p/2b3p1/2q2P2/2p5/P1PnR3/4Q1PP/5R1K b - - 0 31,-628,-2.512,
1r4k1/p4p1p/2b3p1/2q2P2/2p5/P1PnR3/4Q1PP/5R1K w - - 1 32,-648,-2.592,
1r4k1/p4p1p/2b3p1/2q2P2/2p5/P1Pn2R1/4Q1PP/5R1K b - - 2 32,-610,-2.44,
4r1k1/p4p1p/2b3p1/2q2P2/2p5/P1Pn2R1/4Q1PP/5R1K w - - 3 33,-613,-2.452,
4r1k1/p4p1p/2b3p1/2q2P2/2p5/P1Pn2R1/3Q2PP/5R1K b - - 4 33,-632,-2.528,
4r1k1/p4p1p/2b3p1/4qP2/2p5/P1Pn2R1/3Q2PP/5R1K w - - 5 34,-401,-1.604,
4r1k1/p4p1p/2b3P1/4q3/2p5/P1Pn2R1/3Q2PP/5R1K b - - 0 34,-502,-2.008,
4r1k1/p4p2/2b3p1/4q3/2p5/P1Pn2R1/3Q2PP/5R1K w - - 0 35,-480,-1.92,
4r1k1/p4p2/2b3pQ/4q3/2p5/P1Pn2R1/6PP/5R1K b - - 1 35,-1508,-6.032,
4r1k1/p4p2/2b3pQ/5q2/2p5/P1Pn2R1/6PP/5R1K w - - 2 36,-1859,-7.436,
4r1k1/p4p2/2b3pQ/5q2/2p5/P1Pn2R1/6PP/R6K b - - 3 36,-2041,-8.164,
4r1k1/p4p2/2b3pQ/5q2/2p5/P1P3R1/6PP/R3n2K w - - 4 37,-2322,-9.288,
4r1k1/p4p2/2b3pQ/5q2/2p5/P1P3R1/6PP/R3n1K1 b - - 5 37,-2272,-9.088,
6k1/p4p2/2b3pQ/5q2/2p5/P1P3R1/4r1PP/R3n1K1 w - - 6 38,-6328,-25.312,
6k1/p4p2/2b3pQ/5q2/2p5/P1P3R1/4r1PP/3Rn1K1 b - - 7 38,-1000002,-4000.008,
6k1/p4p2/2b3pQ/8/2p5/P1P3R1/4rqPP/3Rn1K1 w - - 8 39,-1000001,-4000.004,
r2q1rk1/pp2ppbp/2npbnp1/6B1/4P3/1NN5/PPP1BPPP/R2Q1RK1 w - - 8 10,53,0.212,
r2q1rk1/pp2ppbp/2npbnp1/6B1/4P3/1NN5/PPP1BPPP/R2Q1R1K b - - 9 10,-15,-0.06,
r2q1rk1/pp2ppb1/2npbnpp/6B1/4P3/1NN5/PPP1BPPP/R2Q1R1K w - - 0 11,11,0.044,
r2q1rk1/pp2ppb1/2npbnpp/8/4P2B/1NN5/PPP1BPPP/R2Q1R1K b - - 1 11,-54,-0.216,
r2q1rk1/pp2ppb1/2npbn1p/6p1/4P2B/1NN5/PPP1BPPP/R2Q1R1K w - - 0 12,15,0.06,
r2q1rk1/pp2ppb1/2npbn1p/6p1/4P3/1NN3B1/PPP1BPPP/R2Q1R1K b - - 1 12,-12,-0.048,
r2q1rk1/pp2ppb1/2n1bn1p/3p2p1/4P3/1NN3B1/PPP1BPPP/R2Q1R1K w - - 0 13,0,0,
r2q1rk1/pp2ppb1/2n1bn1p/3pP1p1/8/1NN3B1/PPP1BPPP/R2Q1R1K b - - 0 13,-107,-0.428,
r2qnrk1/pp2ppb1/2n1b2p/3pP1p1/8/1NN3B1/PPP1BPPP/R2Q1R1K w - - 1 14,30,0.12,
r2qnrk1/pp2ppb1/2n1b2p/3pP1p1/3N4/2N3B1/PPP1BPPP/R2Q1R1K b - - 2 14,-27,-0.108,
r2qnrk1/pp2ppb1/4b2p/3pn1p1/3N4/2N3B1/PPP1BPPP/R2Q1R1K w - - 0 15,41,0.164,
r2qnrk1/pp2ppb1/4N2p/3pn1p1/8/2N3B1/PPP1BPPP/R2Q1R1K b - - 0 15,-23,-0.092,
r2qnrk1/pp2p1b1/4p2p/3pn1p1/8/2N3B1/PPP1BPPP/R2Q1R1K w - - 0 16,90,0.36,
r2qnrk1/pp2p1b1/4p2p/3pn1p1/5P2/2N3B1/PPP1B1PP/R2Q1R1K b - - 0 16,-59,-0.236,
r2qnrk1/pp2p1b1/4p2p/3pn3/5p2/2N3B1/PPP1B1PP/R2Q1R1K w - - 0 17,-11,-0.044,
r2qnrk1/pp2p1b1/4p2p/3pn3/5R2/2N3B1/PPP1B1PP/R2Q3K b - - 0 17,-81,-0.324,
r2qn1k1/pp2p1b1/4p2p/3pn3/5r2/2N3B1/PPP1B1PP/R2Q3K w - - 0 18,-66,-0.264,
r2qn1k1/pp2p1b1/4p2p/3pn3/5B2/2N5/PPP1B1PP/R2Q3K b - - 0 18,-38,-0.152,
r2qn1k1/pp2p1b1/4p1np/3p4/5B2/2N5/PPP1B1PP/R2Q3K w - - 1 19,-8,-0.032,
r2qn1k1/pp2p1b1/4p1np/3p4/8/2N3B1/PPP1B1PP/R2Q3K b - - 2 19,-76,-0.304,
r3n1k1/pp2p1b1/1q2p1np/3p4/8/2N3B1/PPP1B1PP/R2Q3K w - - 3 20,-41,-0.164,
r3n1k1/pp2p1b1/1q2p1np/3p4/8/2N3B1/PPP1B1PP/1R1Q3K b - - 4 20,-83,-0.332,
r3n1k1/pp2p1b1/4p1np/3p4/8/2N1q1B1/PPP1B1PP/1R1Q3K w - - 5 21,-27,-0.108,
r3n1k1/pp2p1b1/4p1np/3p4/8/2NBq1B1/PPP3PP/1R1Q3K b - - 6 21,-138,-0.552,
r3n1k1/pp2p1b1/4p2p/3pn3/8/2NBq1B1/PPP3PP/1R1Q3K w - - 7 22,-96,-0.384,
r3n1k1/pp2p1b1/4p2p/3pn3/8/2NBq1B1/PPP3PP/1R3Q1K b - - 8 22,-172,-0.688,
r3n1k1/pp2p1b1/4p2p/3p4/8/2Nnq1B1/PPP3PP/1R3Q1K w - - 0 23,-150,-0.6,
r3n1k1/pp2p1b1/4p2p/3p4/8/2NPq1B1/PP4PP/1R3Q1K b - - 0 23,-169,-0.676,
r5k1/pp2p1b1/3np2p/3p4/8/2NPq1B1/PP4PP/1R3Q1K w - - 1 24,-161,-0.644,
r5k1/pp2p1b1/3np2p/3p4/8/2NPq1B1/PP4PP/4RQ1K b - - 2 24,-184,-0.736,
r5k1/pp2p1b1/3np2p/3p4/8/2NP2B1/PP1q2PP/4RQ1K w - - 3 25,-139,-0.556,
r5k1/pp2p1b1/3np2p/3p4/8/2NP2B1/PP1qQ1PP/4R2K b - - 4 25,-182,-0.728,
r5k1/pp2p1b1/3np2p/3p4/8/2NP2B1/PP2q1PP/4R2K w - - 0 26,-107,-0.428,
r5k1/pp2p1b1/3np2p/3p4/8/2NP2B1/PP2R1PP/7K b - - 0 26,-236,-0.944,
5rk1/pp2p1b1/3np2p/3p4/8/2NP2B1/PP2R1PP/7K w - - 1 27,-177,-0.708,
5rk1/pp2p1b1/3np2p/3p4/8/2NP2B1/PP4PP/4R2K b - - 2 27,-223,-0.892,
6k1/pp2p1b1/3np2p/3p1r2/8/2NP2B1/PP4PP/4R2K w - - 3 28,-179,-0.716,
6k1/pp2p1b1/3np2p/3p1r2/8/2NP2BP/PP4P1/4R2K b - - 0 28,-219,-0.876,
8/pp2pkb1/3np2p/3p1r2/8/2NP2BP/PP4P1/4R2K w - - 1 29,-178,-0.712,
8/pp2pkb1/3np2p/3p1r2/8/3P2BP/PP4P1/3NR2K b - - 2 29,-218,-0.872,
8/pp2pk2/3np2p/3p1r2/3b4/3P2BP/PP4P1/3NR2K w - - 3 30,-174,-0.696,
8/pp2pk2/3np2p/3p1r2/3b4/3P3P/PP4PB/3NR2K b - - 4 30,-235,-0.94,
8/pp2pk2/3n3p/3ppr2/3b4/3P3P/PP4PB/3NR2K w - - 0 31,-215,-0.86,
8/pp2pk2/3n3p/3ppr2/3b4/3P3P/PP4P1/3NR1BK b - - 1 31,-243,-0.972,
8/pp2pk2/3n4/3ppr1p/3b4/3P3P/PP4P1/3NR1BK w - - 0 32,-186,-0.744,
8/pp2pk2/3n4/3ppr1p/3b4/2NP3P/PP4P1/4R1BK b - - 1 32,-221,-0.884,
8/pp2pk2/3n4/3ppr1p/8/2bP3P/PP4P1/4R1BK w - - 0 33,-191,-0.764,
8/pp2pk2/3n4/3ppr1p/8/2PP3P/P5P1/4R1BK b - - 0 33,-228,-0.912,
8/pp2pk2/3n4/3p1r1p/4p3/2PP3P/P5P1/4R1BK w - - 0 34,-185,-0.74,
8/pp2pk2/3n4/2Bp1r1p/4p3/2PP3P/P5P1/4R2K b - - 1 34,-198,-0.792,
8/pp2pk2/3n4/2Bp1r1p/8/2Pp3P/P5P1/4R2K w - - 0 35,-158,-0.632,
8/pp2pk2/3B4/3p1r1p/8/2Pp3P/P5P1/4R2K b - - 0 35,-209,-0.836,
8/pp3k2/3p4/3p1r1p/8/2Pp3P/P5P1/4R2K w - - 0 36,-190,-0.76,
8/pp3k2/3p4/3p1r1p/8/2Pp3P/P5P1/3R3K b - - 1 36,-203,-0.812,
8/pp3k2/3p4/5r1p/3p4/2Pp3P/P5P1/3R3K w - - 0 37,-129,-0.516,
8/pp3k2/3p4/5r1p/3p4/2PR3P/P5P1/7K b - - 0 37,-172,-0.688,
8/pp3k2/3p4/5r1p/8/2pR3P/P5P1/7K w - - 0 38,-134,-0.536,
8/pp3k2/3p4/5r1p/8/2R4P/P5P1/7K b - - 0 38,-165,-0.66,
8/pp6/3pk3/5r1p/8/2R4P/P5P1/7K w - - 1 39,-133,-0.532,
8/pp6/3pk3/5r1p/6P1/2R4P/P7/7K b - - 0 39,-193,-0.772,
8/pp6/3pk3/5r2/6p1/2R4P/P7/7K w - - 0 40,-180,-0.72,
8/pp6/3pk3/5r2/6P1/2R5/P7/7K b - - 0 40,-222,-0.888,
8/pp6/3pk3/6r1/6P1/2R5/P7/7K w - - 1 41,-200,-0.8,
8/pp6/3pk3/6r1/2R3P1/8/P7/7K b - - 2 41,-247,-0.988,
8/p7/3pk3/1p4r1/2R3P1/8/P7/7K w - - 0 42,-171,-0.684,
8/p7/3pk3/1p4r1/5RP1/8/P7/7K b - - 1 42,-222,-0.888,
8/p7/3p4/1p2k1r1/5RP1/8/P7/7K w - - 2 43,-210,-0.84,
8/p7/3p4/1p2k1r1/1R4P1/8/P7/7K b - - 3 43,-226,-0.904,
8/p7/8/1p1pk1r1/1R4P1/8/P7/7K w - - 0 44,-222,-0.888,
8/p7/8/1p1pk1r1/1R4P1/8/P5K1/8 b - - 1 44,-214,-0.856,
8/8/8/pp1pk1r1/1R4P1/8/P5K1/8 w - - 0 45,-218,-0.872,
8/8/8/pR1pk1r1/6P1/8/P5K1/8 b - - 0 45,-207,-0.828,
8/8/8/pR1pk3/6r1/8/P5K1/8 w - - 0 46,-242,-0.968,
8/8/8/pR1pk3/6r1/5K2/P7/8 b - - 1 46,-327,-1.308,
8/8/8/pR1pk3/r7/5K2/P7/8 w - - 2 47,-282,-1.128,
8/8/8/p2pk3/r7/5K2/PR6/8 b - - 3 47,-332,-1.328,
8/8/8/p2pk3/8/r4K2/PR6/8 w - - 4 48,-239,-0.956,
8/8/8/p2pk3/8/r7/PR3K2/8 b - - 5 48,-293,-1.172,
8/8/8/p2p4/3k4/r7/PR3K2/8 w - - 6 49,-267,-1.068,
8/8/8/p2p4/3k4/r7/PR6/4K3 b - - 7 49,-298,-1.192,
8/8/8/p2p4/3k4/7r/PR6/4K3 w - - 8 50,-302,-1.208,
8/8/8/p2p4/3k4/7r/P5R1/4K3 b - - 9 50,-315,-1.26,
8/8/8/p2p4/8/2k4r/P5R1/4K3 w - - 10 51,-377,-1.508,
8/8/8/p2p2R1/8/2k4r/P7/4K3 b - - 11 51,-369,-1.476,
8/8/8/p2p2R1/8/2k5/P7/4K2r w - - 12 52,-359,-1.436,
8/8/8/p2p2R1/8/2k5/P3K3/7r b - - 13 52,-431,-1.724,
8/8/8/p2p2R1/8/2k5/P3K2r/8 w - - 14 53,-449,-1.796,
8/8/8/p2p2R1/8/2k5/P6r/3K4 b - - 15 53,-509,-2.036,
8/8/8/p5R1/3p4/2k5/P6r/3K4 w - - 0 54,-700,-2.8,
rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-24,-0.096,
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,54,0.216,
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,-64,-0.256,
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,46,0.184,
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 2 5,-22,-0.088,
r2qkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 3 6,50,0.2,
r2qkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq - 4 6,-15,-0.06,
r2qkb1r/pp1bnppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq - 5 7,31,0.124,
r2qkb1r/pp1bnppp/2n1p3/2ppP3/3P4/N1P2N2/PP2BPPP/R1BQK2R b KQkq - 6 7,-13,-0.052,
r2qkb1r/pp1bnppp/2n1p3/3pP3/3p4/N1P2N2/PP2BPPP/R1BQK2R w KQkq - 0 8,46,0.184,
r2qkb1r/pp1bnppp/2n1p3/3pP3/3P4/N4N2/PP2BPPP/R1BQK2R b KQkq - 0 8,-31,-0.124,
r2qkb1r/pp1b1ppp/2n1p3/3pPn2/3P4/N4N2/PP2BPPP/R1BQK2R w KQkq - 1 9,29,0.116,
r2qkb1r/pp1b1ppp/2n1p3/3pPn2/3P4/5N2/PPN1BPPP/R1BQK2R b KQkq - 2 9,-23,-0.092,
r2qk2r/pp1bbppp/2n1p3/3pPn2/3P4/5N2/PPN1BPPP/R1BQK2R w KQkq - 3 10,35,0.14,
r2qk2r/pp1bbppp/2n1p3/3pPn2/3P4/5N2/PPN1BPPP/R1BQ1RK1 b kq - 4 10,-7,-0.028,
r2q1rk1/pp1bbppp/2n1p3/3pPn2/3P4/5N2/PPN1BPPP/R1BQ1RK1 w - - 5 11,31,0.124,
r2q1rk1/pp1bbppp/2n1p3/3pPn2/3P4/3B1N2/PPN2PPP/R1BQ1RK1 b - - 6 11,-16,-0.064,
r2q1rk1/pp1bb1pp/2n1pp2/3pPn2/3P4/3B1N2/PPN2PPP/R1BQ1RK1 w - - 0 12,10,0.04,
r2q1rk1/pp1bb1pp/2n1pp2/3pPB2/3P4/5N2/PPN2PPP/R1BQ1RK1 b - - 0 12,-57,-0.228,
r2q1rk1/pp1bb1pp/2n2p2/3pPp2/3P4/5N2/PPN2PPP/R1BQ1RK1 w - - 0 13,22,0.088,
r2q1rk1/pp1bb1pp/2n2p2/3pPp2/3P1B2/5N2/PPN2PPP/R2Q1RK1 b - - 1 13,-86,-0.344,
r2qbrk1/pp2b1pp/2n2p2/3pPp2/3P1B2/5N2/PPN2PPP/R2Q1RK1 w - - 2 14,66,0.264,
r2qbrk1/pp2b1pp/2n2p2/3pPp2/3P1B2/5N2/PPNQ1PPP/R4RK1 b - - 3 14,-36,-0.144,
r2q1rk1/pp2b1pp/2n2p2/3pPp1b/3P1B2/5N2/PPNQ1PPP/R4RK1 w - - 4 15,43,0.172,
r2q1rk1/pp2b1pp/2n2P2/3p1p1b/3P1B2/5N2/PPNQ1PPP/R4RK1 b - - 0 15,15,0.06,
r2q1rk1/pp4pp/2n2b2/3p1p1b/3P1B2/5N2/PPNQ1PPP/R4RK1 w - - 0 16,59,0.236,
r2q1rk1/pp4pp/2n2b2/3pNp1b/3P1B2/8/PPNQ1PPP/R4RK1 b - - 1 16,13,0.052,
r2q1rk1/pp4pp/5b2/n2pNp1b/3P1B2/8/PPNQ1PPP/R4RK1 w - - 2 17,56,0.224,
r2q1rk1/pp4pp/5b2/n2pNp1b/3P1B2/3Q4/PPN2PPP/R4RK1 b - - 3 17,12,0.048,
2rq1rk1/pp4pp/5b2/n2pNp1b/3P1B2/3Q4/PPN2PPP/R4RK1 w - - 4 18,40,0.16,
2rq1rk1/pp4pp/5b2/n2pNp1b/3P1B2/3Q4/PPN2PPP/2R2RK1 b - - 5 18,29,0.116,
2rq1rk1/pp4pp/5b2/3pNp1b/2nP1B2/3Q4/PPN2PPP/2R2RK1 w - - 6 19,72,0.288,
2rq1rk1/pp4pp/5b2/3pNp1b/2nP1B2/1P1Q4/P1N2PPP/2R2RK1 b - - 0 19,22,0.088,
2rq1rk1/pp4pp/3n1b2/3pNp1b/3P1B2/1P1Q4/P1N2PPP/2R2RK1 w - - 1 20,111,0.444,
2rq1rk1/pp4pp/3n1b2/3pNp1b/1N1P1B2/1P1Q4/P4PPP/2R2RK1 b - - 2 20,52,0.208,
2r2rk1/pp4pp/3n1b2/q2pNp1b/1N1P1B2/1P1Q4/P4PPP/2R2RK1 w - - 3 21,143,0.572,
2r2rk1/pp4pp/2Nn1b2/q2p1p1b/1N1P1B2/1P1Q4/P4PPP/2R2RK1 b - - 4 21,60,0.24,
2r2rk1/p5pp/2pn1b2/q2p1p1b/1N1P1B2/1P1Q4/P4PPP/2R2RK1 w - - 0 22,151,0.604,
2r2rk1/p5pp/2pB1b2/q2p1p1b/1N1P4/1P1Q4/P4PPP/2R2RK1 b - - 0 22,76,0.304,
2r1r1k1/p5pp/2pB1b2/q2p1p1b/1N1P4/1P1Q4/P4PPP/2R2RK1 w - - 1 23,129,0.516,
2r1r1k1/p5pp/2pB1b2/q2p1Q1b/1N1P4/1P6/P4PPP/2R2RK1 b - - 0 23,85,0.34,
2r1r1k1/p5pp/2pB1bb1/q2p1Q2/1N1P4/1P6/P4PPP/2R2RK1 w - - 1 24,95,0.38,
2r1r1k1/p2Q2pp/2pB1bb1/q2p4/1N1P4/1P6/P4PPP/2R2RK1 b - - 2 24,71,0.284,
2rr2k1/p2Q2pp/2pB1bb1/q2p4/1N1P4/1P6/P4PPP/2R2RK1 w - - 3 25,167,0.668,
2rr2k1/p5pp/2pB1bb1/q2p4/1N1P2Q1/1P6/P4PPP/2R2RK1 b - - 4 25,58,0.232,
2rr2k1/p5pp/2pB1bb1/1q1p4/1N1P2Q1/1P6/P4PPP/2R2RK1 w - - 5 26,116,0.464,
2rr2k1/p5pp/2p2bb1/1qBp4/1N1P2Q1/1P6/P4PPP/2R2RK1 b - - 6 26,82,0.328,
2r1r1k1/p5pp/2p2bb1/1qBp4/1N1P2Q1/1P6/P4PPP/2R2RK1 w - - 7 27,242,0.968,
2r1r1k1/p2Q2pp/2p2bb1/1qBp4/1N1P4/1P6/P4PPP/2R2RK1 b - - 8 27,159,0.636,
2r1r1k1/p2Q1bpp/2p2b2/1qBp4/1N1P4/1P6/P4PPP/2R2RK1 w - - 9 28,252,1.008,
2r1r1k1/p2Q1bpp/2p2b2/1qBp4/PN1P4/1P6/5PPP/2R2RK1 b - - 0 28,274,1.096,
1qr1r1k1/p2Q1bpp/2p2b2/2Bp4/PN1P4/1P6/5PPP/2R2RK1 w - - 1 29,344,1.376,
1qr1r1k1/p2Q1bpp/2N2b2/2Bp4/P2P4/1P6/5PPP/2R2RK1 b - - 0 29,177,0.708,
2r1r1k1/p2Q1bpp/2N2b2/2Bp4/P2P4/1q6/5PPP/2R2RK1 w - - 0 30,261,1.044,
2r1r1k1/N2Q1bpp/5b2/2Bp4/P2P4/1q6/5PPP/2R2RK1 b - - 0 30,216,0.864,
1r2r1k1/N2Q1bpp/5b2/2Bp4/P2P4/1q6/5PPP/2R2RK1 w - - 1 31,302,1.208,
1r2r1k1/3Q1bpp/2N2b2/2Bp4/P2P4/1q6/5PPP/2R2RK1 b - - 2 31,117,0.468,
4r1k1/1r1Q1bpp/2N2b2/2Bp4/P2P4/1q6/5PPP/2R2RK1 w - - 3 32,159,0.636,
4r1k1/1r1Q1bpp/5b2/N1Bp4/P2P4/1q6/5PPP/2R2RK1 b - - 4 32,132,0.528,
4r1k1/3r1bpp/5b2/N1Bp4/P2P4/1q6/5PPP/2R2RK1 w - - 0 33,176,0.704,
4r1k1/3r1bpp/5b2/2Bp4/P2P4/1N6/5PPP/2R2RK1 b - - 0 33,107,0.428,
1r4k1/3r1bpp/5b2/2Bp4/P2P4/1N6/5PPP/2R2RK1 w - - 1 34,200,0.8,
1r4k1/3r1bpp/5b2/2Bp4/P2P4/1NR5/5PPP/5RK1 b - - 2 34,87,0.348,
1r4k1/1r3bpp/5b2/2Bp4/P2P4/1NR5/5PPP/5RK1 w - - 3 35,140,0.56,
1r4k1/1r3bpp/5b2/N1Bp4/P2P4/2R5/5PPP/5RK1 b - - 4 35,112,0.448,
1r4k1/5bpp/5b2/N1Bp4/P2P4/2R5/1r3PPP/5RK1 w - - 5 36,212,0.848,
1r4k1/5bpp/2N2b2/2Bp4/P2P4/2R5/1r3PPP/5RK1 b - - 6 36,193,0.772,
r5k1/5bpp/2N2b2/2Bp4/P2P4/2R5/1r3PPP/5RK1 w - - 7 37,221,0.884,
r5k1/5bpp/2N2b2/P1Bp4/3P4/2R5/1r3PPP/5RK1 b - - 0 37,179,0.716,
r3b1k1/6pp/2N2b2/P1Bp4/3P4/2R5/1r3PPP/5RK1 w - - 1 38,238,0.952,
r3b1k1/6pp/1BN2b2/P2p4/3P4/2R5/1r3PPP/5RK1 b - - 2 38,214,0.856,
r5k1/6pp/1Bb2b2/P2p4/3P4/2R5/1r3PPP/5RK1 w - - 0 39,260,1.04,
r5k1/6pp/1BR2b2/P2p4/3P4/8/1r3PPP/5RK1 b - - 0 39,212,0.848,
r5k1/6pp/1BR2b2/P2p4/3P4/8/3r1PPP/5RK1 w - - 1 40,280,1.12,
r5k1/6pp/1BR2b2/P2p4/3P4/8/3r1PPP/R5K1 b - - 2 40,235,0.94,
r5k1/6pp/1BR5/P2p4/3b4/8/3r1PPP/R5K1 w - - 0 41,265,1.06,
r5k1/6pp/2R5/P2p4/3B4/8/3r1PPP/R5K1 b - - 0 41,218,0.872,
r5k1/6pp/2R5/P2p4/3r4/8/5PPP/R5K1 w - - 0 42,265,1.06,
r5k1/6pp/P1R5/3p4/3r4/8/5PPP/R5K1 b - - 0 42,198,0.792,
r5k1/6pp/P1R5/3p4/1r6/8/5PPP/R5K1 w - - 1 43,256,1.024,
r5k1/6pp/P1R5/3p4/1r6/8/5PPP/R4K2 b - - 2 43,251,1.004,
r5k1/6pp/P1R5/8/1r1p4/8/5PPP/R4K2 w - - 0 44,359,1.436,
r5k1/6pp/P1R5/8/1r1p4/8/5PPP/R3K3 b - - 1 44,263,1.052,
r5k1/6pp/P1R5/8/3p4/8/1r3PPP/R3K3 w - - 2 45,358,1.432,
r5k1/P5pp/2R5/8/3p4/8/1r3PPP/R3K3 b - - 0 45,315,1.26,
r5k1/P5pp/2R5/8/8/3p4/1r3PPP/R3K3 w - - 0 46,318,1.272,
r5k1/P5pp/3R4/8/8/3p4/1r3PPP/R3K3 b - - 1 46,142,0.568,
r5k1/P5pp/3R4/8/8/3p4/4rPPP/R3K3 w - - 2 47,142,0.568,
r5k1/P5pp/3R4/8/8/3p4/4rPPP/R4K2 b - - 3 47,59,0.236,
r5k1/P3r1pp/3R4/8/8/3p4/5PPP/R4K2 w - - 4 48,68,0.272,
r5k1/P3r1pp/8/8/8/3R4/5PPP/R4K2 b - - 0 48,62,0.248,
r5k1/r5pp/8/8/8/3R4/5PPP/R4K2 w - - 0 49,76,0.304,
r5k1/R5pp/8/8/8/3R4/5PPP/5K2 b - - 0 49,60,0.24,
6k1/r5pp/8/8/8/3R4/5PPP/5K2 w - - 0 50,73,0.292,
6k1/r5pp/8/8/8/3R4/4KPPP/8 b - - 1 50,67,0.268,
6k1/6pp/8/8/8/3R4/r3KPPP/8 w - - 2 51,46,0.184,
6k1/6pp/8/8/8/8/r2RKPPP/8 b - - 3 51,66,0.264,
6k1/6pp/8/8/8/r7/3RKPPP/8 w - - 4 52,55,0.22,
6k1/6pp/8/8/5P2/r7/3RK1PP/8 b - - 0 52,27,0.108,
6k1/7p/6p1/8/5P2/r7/3RK1PP/8 w - - 0 53,32,0.128,
6k1/7p/6p1/8/5P2/r2R4/4K1PP/8 b - - 1 53,13,0.052,
6k1/7p/6p1/8/5P2/3R4/r3K1PP/8 w - - 2 54,25,0.1,
6k1/7p/6p1/8/5P2/3R1K2/r5PP/8 b - - 3 54,28,0.112,
6k1/8/6p1/7p/5P2/3R1K2/r5PP/8 w - - 0 55,26,0.104,
6k1/8/6p1/7p/5P1P/3R1K2/r5P1/8 b - - 0 55,0,0,
8/5k2/6p1/7p/5P1P/3R1K2/r5P1/8 w - - 1 56,0,0,
8/5k2/6p1/7p/5P1P/1R3K2/r5P1/8 b - - 2 56,0,0,
rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/2P5/PP1N1PPP/R1BQKBNR b KQkq - 0 5,7,0.028,
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P4/2P5/PP1N1PPP/R1BQKBNR w KQkq - 0 6,101,0.404,
r1b1k2r/pp1nbppp/1qn1p3/2ppP3/3P1P2/2P2NP1/PP5P/R1BQKBNR w KQkq - 1 9,65,0.26,
r1b1k2r/pp1nbppp/1qn1p3/2ppP3/3P1P2/2P2NPB/PP5P/R1BQK1NR b KQkq - 2 9,6,0.024,
r1b1k2r/pp1nbppp/1qn1p3/3pP3/3p1P2/2P2NPB/PP5P/R1BQK1NR w KQkq - 0 10,51,0.204,
r1b1k2r/pp1nb1pp/1qn1pp2/3pP3/3P1P2/5NPB/PP5P/R1BQK1NR w KQkq - 0 11,41,0.164,
r1b1k2r/pp1nb1pp/1qn1pp2/3pP3/3P1P2/5NPB/PP5P/R1BQ1KNR b kq - 1 11,-6,-0.024,
r1b2rk1/pp1nb1pp/1qn1pp2/3pP3/3P1P2/5NPB/PP5P/R1BQ1KNR w - - 2 12,61,0.244,
r1b2rk1/pp1nb1pp/1qn1pp2/3pP3/3P1P2/5NPB/PP4KP/R1BQ2NR b - - 3 12,-46,-0.184,
r1b2rk1/pp1nb1pp/1qn1p3/3pp3/3P1P2/5NPB/PP4KP/R1BQ2NR w - - 0 13,176,0.704,
r1b2rk1/pp1nb1pp/1qn1p3/3pP3/3P4/5NPB/PP4KP/R1BQ2NR b - - 0 13,104,0.416,
r1b2rk1/pp2b1pp/1qn1p3/3pn3/3P4/5NPB/PP4KP/R1BQ2NR w - - 0 14,99,0.396,
