FEN,Evaluation,eval,
r1b1k2r/pp1n2pp/1qn1p3/3pp3/1b1P1P2/3B1N2/PP1BN1PP/R2QK2R w KQkq - 0 12,263,1.052,
r1b1k2r/pp1n2pp/1qn1p3/3pP3/1b1P4/3B1N2/PP1BN1PP/R2QK2R b KQkq - 0 12,201,0.804,
r1b2rk1/pp1n2pp/1qn1p3/3pP3/1b1P4/3B1N2/PP1BN1PP/R2QK2R w KQ - 1 13,248,0.992,
r1b2rk1/pp1n2pp/1qn1p3/3pP3/1b1P4/P2B1N2/1P1BN1PP/R2QK2R b KQ - 0 13,169,0.676,
r1b2rk1/pp1nb1pp/1qn1p3/3pP3/3P4/P2B1N2/1P1BN1PP/R2QK2R w KQ - 1 14,238,0.952,
r1b2rk1/pp1nb1pp/1qn1p3/3pP3/3P4/P2B1N2/1PQBN1PP/R3K2R b KQ - 2 14,101,0.404,
r1b3k1/pp1nb1pp/1qn1p3/3pP3/3P4/P2B1r2/1PQBN1PP/R3K2R w KQ - 0 15,21,0.084,
r1b3k1/pp1nb1pp/1qn1p3/3pP3/3P4/P2B1P2/1PQBN2P/R3K2R b KQ - 0 15,134,0.536,
r1b3k1/pp1nb1pp/1q2p3/3pP3/3n4/P2B1P2/1PQBN2P/R3K2R w KQ - 0 16,0,0,
r1b3k1/pp1nb1pp/1q2p3/3pP3/3N4/P2B1P2/1PQB3P/R3K2R b KQ - 0 16,10,0.04,
r1b3k1/pp1nb1pp/4p3/3pP3/3q4/P2B1P2/1PQB3P/R3K2R w KQ - 0 17,153,0.612,
r1b3k1/pp1nb1pp/4p3/3pP3/3q4/P2B1P2/1PQB3P/2KR3R b - - 1 17,150,0.6,
r1b3k1/pp2b1pp/4p3/3pn3/3q4/P2B1P2/1PQB3P/2KR3R w - - 0 18,152,0.608,
r1b3k1/pp2b1pB/4p3/3pn3/3q4/P4P2/1PQB3P/2KR3R b - - 0 18,162,0.648,
r1b4k/pp2b1pB/4p3/3pn3/3q4/P4P2/1PQB3P/2KR3R w - - 1 19,189,0.756,
r1b4k/pp2b1pB/4p3/3pn3/3q4/P4P2/1PQB3P/1K1R3R b - - 2 19,129,0.516,
r1b4k/pp2b1pB/4p3/3pn3/7q/P4P2/1PQB3P/1K1R3R w - - 3 20,209,0.836,
r1b4k/pp2b1pB/4p3/3pn3/7q/P1B2P2/1PQ4P/1K1R3R b - - 4 20,207,0.828,
r1b4k/pp4pB/4pb2/3pn3/7q/P1B2P2/1PQ4P/1K1R3R w - - 5 21,249,0.996,
r1b4k/pp4pB/4pb2/3pn3/5P1q/P1B5/1PQ4P/1K1R3R b - - 0 21,189,0.756,
r1b4k/pp4pB/4pb2/3p4/2n2P1q/P1B5/1PQ4P/1K1R3R w - - 1 22,456,1.824,
r1b4k/pp4pB/4pB2/3p4/2n2P1q/P7/1PQ4P/1K1R3R b - - 0 22,176,0.704,
r1b4k/pp4pB/4pq2/3p4/2n2P2/P7/1PQ4P/1K1R3R w - - 0 23,300,1.2,
r1b4k/pp4p1/4pq2/3p4/2n2P2/P2B4/1PQ4P/1K1R3R b - - 1 23,253,1.012,
r1b4k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1PQ4P/1K1R3R w - - 0 24,569,2.276,
r1b4k/p5p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R3R b - - 1 24,353,1.412,
r6k/p2b2p1/4pq2/1p1p4/2n2P2/P2B4/1P2Q2P/1K1R3R w - - 2 25,345,1.38,
